Moved over to Sprint Plan,You can have other columns as well,RELEASE,STORY_ID,STORY_TITLE,STORY,"PRIORITY (0 wont, 1 could, 2 should 3 must)",STORY_POINTS,ACCEPT,NOTES (optional assumption),,,,,
,,,1000,Job Posting Creation,"As an employer, I want to create a new job posting with details like role description, requirements, employment type (full-time, part-time, freelance, contract), salary range, and required fields validation, so that I can accurately list opportunities for job seekers.",3,8,"Given a job seeker whose profile indicates limited formal work experience (e.g., student, recent graduate), when they access resources related to profile building or career guidance, then they should find specific advice demonstrating how to effectively present education, projects, volunteer work, internships, and transferable skills.
Given a job seeker with limited experience accesses career guidance resources, when they view the materials, then they should find practical examples and templates for showcasing potential to employers.",,,,,,
,,,1100,Job Listing Expiration Management,"As an employer, I want to set expiry dates for job listings so that outdated positions are automatically removed.",3,3,"Given an employer is creating or editing a job listing, when they are configuring the listing's settings, then they find a mandatory or optional date input field labelled 'Expiry Date' or 'Listing Duration'.
Given a job listing has a set expiry date, when the system date reaches the specified expiry date, then the job listing's status automatically changes to 'Expired'.
Given a job listing has reached its expiry date, when the status changes to 'Expired', then it is removed from public search results for candidates.
Given an active job listing is within a predefined period of its expiry date, when the employer logs in or views their active listings, then they receive an alert or notification informing them of the upcoming expiration.",,,,,,
,,,1200,Job Listing Reposting,"As an employer, I want to repost expired job listings with a single click so that I can quickly renew unfilled positions.",3,2,"Given an employer is viewing their list of 'Expired' job listings, when they locate a specific expired listing, then a 'Repost' or 'Renew Listing' button is visible and enabled for that listing.
Given an employer clicks the 'Repost' button for an expired listing, when the action is confirmed, then a new job listing is created as a copy of the expired one.
Given an employer reposts an expired listing, when the repost is confirmed, then the new listing is assigned a 'Draft' or 'Active' status.
Given an employer reposts an expired listing, when the repost is confirmed, then the creation date and expiry date are reset.",,,,,,
,,,1300,View Interested Candidate Profiles,"As an employer, I want to view interested job seekers' profiles so that I can gather contact information and review their employment history and qualifications.",3,5,"Given a job seeker is logged in, when they navigate to their personal 'Analytics Dashboard' or 'Job Search Performance' section, then they should see visualisations and statistics related to their job search activity.
Given a job seeker views their analytics dashboard, when the page loads, then they should see metrics including number of applications sent, application view rates, profile views, and search appearances.
Given a job seeker views their analytics dashboard, when the page loads, then they should see a comparison of their skills against job requirements.",,,,,,
,,,1400,Company Verification Process,"As an employer, I want my company to be verified on the platform so that candidates trust my job postings.",3,5,"Given an employer has created their company profile, when they navigate to the 'Company Settings' or 'Profile' section, then they see a clearly marked section or button labelled 'Verify Company' or 'Start Verification'.
Given an employer has submitted the required documentation for verification, when the platform administrators approve the verification request, then a 'Verified' badge or checkmark appears prominently on the employer's company profile page.
Given an employer's company is verified, when their job postings appear in searches, then a 'Verified' badge is displayed next to their company name.
Given a candidate is browsing job listings, when they view a job posting from a verified company, then they see the 'Verified' badge displayed near the company name.",,,,,,
,,,1500,Candidate Filtering,"As an employer, I want to search for and filter potential candidates based on a comprehensive set of criteria including skills, experience, education level, certifications, years in specific roles, GPA, graduation date, and location, so that I can efficiently identify the most suitable candidates for my positions.",3,13,"Given an employer is logged in, when they attempt to submit the 'Create Job Posting' form with missing mandatory fields, then the form submission should be prevented.
Given an employer submits a form with invalid data, when the validation occurs, then clear error messages should be displayed next to the invalid fields, indicating what needs correction.
Given an employer is logged in, when they complete the 'Create Job Posting' form with all mandatory fields containing valid data, then the job posting should be successfully created.
Given an employer successfully creates a job posting, when the submission is processed, then they should receive a confirmation message.",,,,,,
,,,1600,Custom Screening Questions,"As an employer, I want to create custom screening questions for applicants so that I can filter candidates more effectively based on specific requirements.",3,8,"Given an employer has identified a promising candidate not suitable for a current role, when they navigate to the candidate's profile actions, then they see an option labelled 'Add to Talent Pool'.
Given an employer has added candidates to their Talent Pool, when they access the 'Talent Pool' section from their dashboard or navigation, then they can view a list of stored candidate profiles.
Given an employer views their talent pool, when they interact with the interface, then they can search and filter profiles by criteria like skills or past roles.
Given an employer is searching for candidates for a new job listing, when they use the candidate search interface, then they have a specific filter or option to search exclusively within their 'Talent Pool'.",,,,,,
,,,1700,New Application Notifications,"As an employer, I want to receive notifications (in-app or email) for new applications and be able to configure my notification preferences (e.g., frequency, type of notification, specific job postings) so that I can manage them promptly.",3,5,"Given an employer is logged in and has a job posting with one or more applicants, when they navigate to the applicant list for that specific job posting and click on a candidate's name or 'View Profile' link, then they should be able to view the candidate's complete profile.
Given an employer views a candidate's profile, when the profile loads, then it should display contact details, submitted CV/documents, work history, education, skills, and answers to any screening questions (if applicable).",,,,,,
,,,1800,Candidate Progression Tracking,"As an employer, I want to track the progress of each candidate through different hiring stages so that I have a clear overview of the recruitment pipeline.",3,8,"Given an employer is logged in, when they are creating or editing a job posting and add custom questions in the 'Screening Questions' section, then the questions should be saved and associated with that specific job posting.",,,,,,
,,,1900,Talent Pool,"As an employer, I want to manage and store candidate profiles in a talent pool so that I can revisit potential hires for future openings.",3,8,"Given an employer is logged into their account, when they navigate to the main 'Dashboard' page, then they see distinct visual components displaying key metrics including total job listing clicks.
Given an employer views their dashboard, when the page loads, then they see metrics for total application numbers and successful hires per listing.
Given an employer is viewing the Dashboard, when they interact with a date range selector associated with the metrics, then all displayed metrics update to reflect data only from the selected time period.
Given an employer is viewing the Dashboard, when they hover their cursor over a specific metric, then a tooltip or pop-up appears providing additional context, such as a daily breakdown or comparison to a previous period.",,,,,,
,,,2000,Scheduling Interviews,"As an employer, I want to schedule interviews directly through the portal, including options for integrated video conferencing, so that I can streamline coordination with candidates.",3,13,"Given an employer has an active or past job listing, when they navigate to the management page for that specific listing and select an 'Analytics' or 'View Stats' option, then they see data points including total views and application counts.
Given an employer views job posting analytics, when the data loads, then they see aggregated, anonymised demographic insights of applicants for that specific listing.
Given an employer is viewing the analytics for a job posting, when they select a 'Compare' option and choose a previous time period, then the system displays the percentage change for key metrics like views and applications between the selected periods.",,,,,,
,,,2100,Automated Email Notifications,"As an employer, I want to set up automated email notifications for interview invitations, status updates, rejections, and offer letters so that I can keep candidates informed efficiently.",3,8,"Given an employer is logged in viewing a list of candidates, when they apply one or more filters using the available criteria, then the list of candidates should dynamically update to display only those profiles that match all the selected filter criteria.",,,,,,
,,,2200,Dashboard for Employers,"As an employer, I want a dashboard to visualise key metrics, including job listing clicks, application numbers, successful hires per listing, overall application trends over time, time to fill positions, cost per hire, candidate source effectiveness, and offer acceptance rate, so that I can track recruitment performance and interest.",3,13,"Given a job seeker is viewing any job posting details page, when they look for reporting options, then a clearly labelled ""Report this Job"" button or link is visible on the page.
Given a job seeker clicks the ""Report this Job"" button, when a reporting modal or form appears, then they are required to select a reason from a predefined list.
Given a job seeker reports a job, when the form appears, then they are provided with an optional text field to add specific details.
Given a job seeker submits a report, when the submission is successful, then they receive an on-screen confirmation message.
Given a job report is submitted, when the system processes it, then the report (including Job ID, reason, details, timestamp, and reporter's User ID if logged in) is logged and routed to the content moderation queue.",,,,,,
,,,2300,Job Posting Analytics,"As an employer, I want to view job posting analytics (views, application counts, demographic insights) so that I can refine hiring strategies.",3,8,"Given an employer adds or edits a URL within a job posting, when the posting is saved, then the system performs an automated check on the URL against known malicious site databases.
Given the URL scan identifies a link as potentially unsafe, when the employer attempts to save the posting, then a warning message is displayed to the employer.
Given a link is identified as unsafe, when an employer attempts to save the posting, then the system may prevent the posting from being published/updated or flag it for mandatory moderation review.
Given a job seeker views a job posting containing URLs, when they hover their mouse cursor over a hyperlink, then the browser's default behaviour or a platform tooltip clearly displays the actual destination URL.",,,,,,
,,,2400,Calendar Integration,"As a job seeker and employer, I want calendar integration so that interviews can be scheduled efficiently.",3,20,"Given an employer attempts to upload a file attachment to a job posting, when the file is received by the server, then the system automatically scans the file using an integrated anti-malware/anti-virus engine.
Given the security scan detects malware, when the scan completes, then the file upload is rejected.
Given a file is detected as malicious, when the upload is rejected, then the employer receives an error message indicating the file is unsafe.
Given a file has passed the security scan and is attached to a job posting, when a job seeker clicks the download link for the attachment, then they are able to successfully download the verified, non-malicious file.",,,,,,
,,,2500,Job Posting Report Button,"As a Job Seeker, I want an easily accessible option to report inappropriate, discriminatory, misleading, or fraudulent job postings, so that I can actively contribute to platform safety and protect users from potential harm.",3,3,"Given a job posting receives reports flagged as high-priority or exceeds a threshold of total reports, when the reports are processed by the system, then the job posting's status can be automatically changed to ""Pending Review - Hidden"".
Given a job posting is set to ""Pending Review - Hidden"", when the status change occurs, then it becomes invisible to job seekers but visible in the moderation queue.
Given a content moderator is reviewing a job posting in the moderation tool, when they assess the content and reports, then they have explicit actions available such as ""Approve (Keep Live)"", ""Reject (Remove Permanently)"", ""Edit Content"", and ""Hide Temporarily"".
Given a content moderator selects the ""Hide Temporarily"" action for a live post, when they confirm the action, then the job posting is immediately removed from public view for job seekers.
Given a job posting is hidden by a moderator, when the status change occurs, then its status is updated to ""Hidden by Moderator"" and it remains in the moderation queue for further action.",,,,,,
,,,2600,URL Safety in Job Postings,"As a job seeker, I want to know that all URLs contained within job postings are reflective of the impression created by its display text and context, so that I do not fall victim to phishing exploits.",3,8,"Given a logged-in user navigates to their account security settings, when they locate the Two-Factor Authentication section, then they see the current 2FA status (Enabled/Disabled) and an option to enable or manage it.
Given a user chooses to enable 2FA, when they initiate the setup process, then they are presented with options (e.g., Authenticator App, SMS) and guided through verification steps.
Given a user completes 2FA setup, when the process finalises, then they are provided with backup/recovery codes.
Given 2FA is enabled for an account, when the user attempts to log in after entering their correct password, then they are prompted to enter a time-sensitive code from their configured 2FA method before access is granted.",,,,,,
,,,2700,File Security in Job Postings,"As a job seeker, I want to know that all files attached to job postings are not malicious, so that I can download and open these files without compromising my digital security.",3,8,"Given a system administrator is logged into the admin panel and accesses ""Employee Account Management"", when the page loads, then a searchable and filterable list of internal employee accounts is displayed with key details.
Given a system administrator selects the ""Create Employee Account"" option, when they complete the required fields, then a new employee account is created with an initial status.
Given a new employee account is created, when the account creation completes, then an invitation/setup email is sent to the employee.
Given a system administrator selects an existing employee account from the list, when they choose an action, then they can perform the selected action with changes immediately reflected in the system.
Given an administrator makes changes to an employee account, when the changes are saved, then the action is logged in an audit trail.",,,,,,
,,,2800,Job Posting Moderation,"As a content moderator, I want the ability to temporarily hide flagged job postings from being viewed by job seekers, so that I can minimise potential harm to users until these posts can be moderated.",3,5,"Given a system administrator logs in and accesses the ""System Health Monitoring"" dashboard, when the dashboard loads, then it displays near real-time key performance indicators.
Given predefined performance thresholds are configured, when any monitored metric exceeds its threshold for a sustained period, then an alert is automatically generated and sent to designated administrators.
Given a system administrator is viewing the health dashboard, when they select a specific metric or time range, then they can view historical trend data for that metric.",,,,,,
,,,2900,Two-Factor Authentication,"As a user, I want to enable two-factor authentication so that I can protect my account from unauthorized access.",3,8,"Given a system administrator receives a validated Data Subject Access Request, when they use the GDPR compliance tool and search for the specific user, then they can generate an export containing all personal data associated with that user.
Given a system administrator receives a validated request for erasure, when they use the GDPR compliance tool for the specific user, then they can trigger a process that anonymises or deletes the user's personal data from platform databases and systems.
Given a system administrator needs to demonstrate compliance, when they access the consent management or data processing logs via the compliance tools, then they can retrieve records showing user consent history and logs of significant data processing activities.",,,,,,
,,,3000,Employee Account Administration,"As a system administrator, I want to create, modify, deactivate, and limit access to the internal data systems for employee accounts, so that I can preserve user privacy and system security by managing access to internal data systems.",3,5,"Given a system administrator accesses the ""Data Retention Policy"" configuration area, when they define a new policy, then they can specify the data type, the retention period, and the action to take upon expiry.
Given data retention policies are active, when an automated system job runs, then it identifies all data records that have exceeded their configured retention period.
Given the automated job identifies expired data, when the job executes the retention action, then the specified data is anonymised or deleted according to the policy.
Given a data retention job completes, when the process finalises, then a log is generated summarising the actions taken.",,,,,,
,,,3100,System Health Monitoring,"As a system administrator, I want real-time platform performance metrics so that I can ensure system reliability.",3,13,"Given a user interacts with a consent mechanism on the platform, when they submit their choice, then a record is created in the Consent Management System capturing the User ID, the specific consent item, the consent status, and the timestamp.
Given a user changes their previously given consent, when they update their preference via their account settings, then a new record reflecting the updated status and timestamp is added to their consent history.
Given a system administrator or an automated process needs to verify consent for a specific user and purpose, when it queries the Consent Management System for that user and consent item, then it receives the current, most recent consent status for that specific purpose.",,,,,,
,,,3200,Customer Payment Overview,"As an Accountant, I want to view a list of all pending and processed customer payments within a specified date range, so that I can verify monthly revenue totals.",3,5,"Given an accountant is logged in and navigates to the ""Customer Payments"" section, when the page loads, then a dashboard summary is displayed showing total processed payments and total pending payments for the current month (or a default period).
Given the accountant views the detailed payments list, when they apply filters for ""Status"" (e.g., Pending, Processed, Failed, Refunded) and/or a specific ""Date Range"", then the list updates to show only transactions matching the selected criteria.
Given the accountant examines the list of payments, then each entry displays key information including Customer Name, Invoice Number, Payment Amount, Payment Date (for processed), Due Date (for pending), and current Status.",,,,,,
,,,3300,Export Customer Payment Data,"As an Accountant, I want to export all data (CSV or XLSX format) of all pending and processed customer payments with their payment date, clearance date, amount, customer ID, services type, payment method, and transaction ID for a given period, so that I can prepare financial reports and maintain financial records.",3,5,"Given an accountant is viewing the ""Customer Payments"" list (potentially filtered), when they click the ""Export Data"" button, then they are prompted to choose an export file format (e.g., CSV, XLSX).
Given the accountant has applied filters to the payment list (e.g., specific date range, status = ""Processed""), when they initiate the export after selecting a format, then the generated file contains only the payment records that match the currently applied filters.
Given the accountant opens the exported file, when they review the contents, then the file includes columns for all relevant payment details, such as Customer ID/Name, Invoice ID, Payment Amount, Currency, Payment Date, Due Date, Status, Payment Method Type, Transaction ID (if applicable), suitable for import into accounting software or spreadsheets.",,,,,,
,,,3400,Subscription Management,"As an accountant, I want to manage employer subscriptions so that billing is accurate and transparent.",3,13,"Given an accountant accesses the ""Subscription Management"" interface, when they search for and select a specific employer account, then they can view the details of the employer's current subscription plan(s), including plan name, status (Active, Canceled, Trialing), price, billing frequency, next billing date, and key feature limits.
Given an accountant needs to modify an employer's subscription, when they select an action like ""Change Plan"", ""Cancel Subscription"", ""Add Add-on"", or ""Apply Coupon/Discount"", then they are presented with the relevant options and fields to make the change, and the system calculates any immediate prorated charges or credits.
Given an accountant makes a change to an employer's subscription (e.g., upgrades plan), when the change is confirmed, then the employer's billing records are updated, future invoices will reflect the new subscription details, and an audit log entry is created recording the change, timestamp, and the admin who made it.",,,,,,
,,,3500,Invoice Generation,"As an accountant, I want to generate and distribute invoices so that payment collection is efficient.",3,8,"Given an employer's subscription is due for renewal or a one-time purchase occurs, when the scheduled billing date arrives or the purchase is completed, then the system automatically generates a detailed invoice including the employer's billing information, line items for services/products, applicable taxes, discounts, total amount due, and payment terms.
Given an invoice has been automatically generated, when the generation process completes successfully, then the invoice is assigned a unique number, stored in the system, automatically emailed to the employer's designated billing contact, and made available for download within the employer's account portal.
Given an accountant needs to issue a non-standard invoice or credit note, when they use the ""Manual Invoice/Credit Note"" tool, then they can select the customer, add custom line items with descriptions and amounts, apply taxes/discounts, and finalize the document, which is then recorded and distributed similarly to automated invoices.",,,,,,
,,,3600,Accessible Job Platform,"As a job seeker with a visual impairment, I want the platform interface to be compatible with screen readers and offer high-contrast display options so that I can navigate job postings and apply without missing any information.",3,20,"Given a job seeker using a screen reader, when they navigate through the platform, then all interactive elements should be properly identified, all text content should be readable, form fields should have proper labels, and ARIA landmarks should be appropriately used.
Given a job seeker on the platform, when they activate 'High Contrast Mode', then the interface colors should change to a high-contrast theme with improved text legibility.
Given a job seeker navigating without a mouse, when they use the Tab key, then they should be able to move through all interactive elements in logical order with clear focus indicators and activate them using Enter or Spacebar.",,,,,,
,,,3700,Captioned Job Content,"As a job seeker with a hearing impairment, I want any video or audio content on the platform (such as company intro videos or webinars) to include captions or transcripts so that I can fully access the information provided.",3,5,"Given a job seeker viewing a video in a job posting, when they play the video, then they should have options to enable accurate closed captions that reflect the audio content.
Given a job seeker accessing audio-only content, when they visit the content page, then an accurate text transcript should be readily available on the same page or via a clear link.
Given a job seeker viewing employer-uploaded video content, when the video is processed, then captions should be automatically generated or the employer should be prompted to provide captions or a transcript.",,,,,,
,,,3800,Profile Privacy Controls,"As a job seeker, I want granular privacy settings for my profile so that I can control what information is visible to which employers.",3,8,"Given a job seeker in profile privacy settings, when they select the 'Public' visibility option and save, then their profile should be searchable and viewable by any logged-in employer.
Given a job seeker in profile privacy settings, when they select the 'Private' visibility option and save, then their profile should not appear in employer searches and only become visible after applying to specific jobs.
Given a job seeker using granular privacy controls, when they set their profile to 'Public' but restrict phone number visibility, then employers should see their profile details but not their phone number unless they've applied to their job.
Given a job seeker in privacy settings, when they add a company to their blocked employers list, then representatives from that company should not be able to find or view their profile.",,,,,,
,,,3900,Mobile Experience,"As a job seeker, I want a fully-featured mobile app so that I can search and apply for jobs on the go.",3,20,"Given a job seeker accessing the platform via mobile browser, when they navigate through different pages, then the layout should adapt to the screen size without horizontal scrolling, with readable text, easily tappable buttons, and all core functionalities available.
Given a job seeker using the mobile app, when they perform a search with keywords and filters, then the results should display clearly in a mobile-optimized view with accessible filtering options.
Given a job seeker using the mobile app and viewing a 'Quick Apply' job, when they tap the 'Quick Apply' button, then their application should be submitted using their profile data and they should receive in-app confirmation.",,,,,,
,,,4000,Employer Notification for Noncompliance,"As an employer, I want to be 'flagged' for job postings that, amongst other factors, contain problematic job descriptions, discriminatory employment terms, or compensation offers below the minimum amount prescribed regulations, so that I can ensure compliance with employment and anti-discrimination laws.",2,5,"Given an employer attempts to publish a job posting containing text flagged by the system as potentially discriminatory or non-inclusive, when they click 'Publish', then the posting is flagged, prevented from going live immediately, and its status is set to 'Pending Review' or similar.
Given an employer enters a compensation value in a job posting that falls below the configured minimum wage for the specified job location, when the form field loses focus or the posting is submitted, then an error message is displayed next to the field, and the posting cannot be published until corrected.
Given a job posting has been flagged for non-compliance, when the employer views the job posting in their management list or editor, then the specific sections or fields causing the flag are clearly highlighted or annotated with the reason for the flag.",,,,,,
,,,4100,Employer Notification Violations,"As an employer, I want to receive prompt notifications for job postings flagged for policy violation with an explanation of the violations, reasons for the posts rejection, and directions to relevant policy guidelines, so that I clearly understand the issues and can promptly correct them effectively in future submissions.",2,3,"Given a job posting submitted by an employer is automatically flagged for a policy violation, when the flagging action occurs, then an automated notification is sent to the employer who submitted the posting.
Given an employer receives and opens a violation notification, when they view the details, then the notification clearly states which policy was violated and identifies the specific job posting.
Given an employer navigates to the flagged job posting from the notification or their job list, when they view the posting details, then a prominent message explains the reason for the flag and provides guidance or direct links to edit the problematic sections.",,,,,,
,,,4200,Hiring Team Management,"As an employer, I want to create hiring teams with specific permissions so that I can collaborate efficiently on recruitment.",2,8,"Given an employer with administrative privileges navigates to the 'Team Management' or 'Users' section, when they select an option to 'Add Team Member' or 'Invite User', then they can input the member's email address and assign them to specific job postings or default access levels.
Given an employer is adding or editing a team member, when assigning permissions, then they can select from predefined roles or access a granular permission checklist to create or modify a role.
Given a team member logs in with non-administrative permissions, when they attempt to access a feature or perform an action they are not permitted to, then the feature is disabled/hidden, or they receive an error message indicating lack of permission.",,,,,,
,,,4300,Collaborative Candidate Review,"As an employer, I want collaborative evaluation tools so that hiring teams can assess candidates together.",2,8,"Given a hiring team member is viewing a candidate's profile associated with a job they are assigned to, when they look for evaluation tools, then they find options to add private or shared comments, apply ratings, and fill out a structured feedback form/scorecard.
Given multiple team members have submitted ratings or feedback for a candidate, when any assigned team member views that candidate's profile, then they can see an aggregated summary of ratings and a feed of all shared comments and feedback submitted by the team.
Given a team member adds a new comment or rating, when other team members assigned to the same job view or refresh the candidate's profile, then the newly added feedback is visible.",,,,,,
,,,4400,Diversity Recruitment Tools,"As an employer, I want diversity recruitment features so that I can build more inclusive teams.",2,13,"Given an employer is writing or editing a job description within the platform's editor, when the system detects language potentially indicating bias, then the specific words or phrases are highlighted with suggestions for more inclusive alternatives.
Given an employer has enabled the anonymised screening feature for a job posting, when hiring team members view the initial list of applicants for that job, then potentially biasing information is masked or hidden until a later stage.
Given an employer is viewing job posting analytics, when they access the demographic insights section, then the data is presented in an aggregated and anonymised format, preventing the identification of individual applicants based on demographics during the analytics review.",,,,,,
,,,4500,Diversity & Inclusion Framework,"As a job seeker, I want a comprehensive diversity and inclusion framework that includes anonymous applications (hiding name, photo, age, gender, address, and educational institutions), detailed company D&I information (workforce statistics, benefits, resource groups), and diversity-focused recruitment events, so that I can find inclusive employers and have confidence in equitable evaluation of my skills and experience.",2,13,"Given a job seeker viewing a company profile or job posting, when they look for D&I information, then they should find details about the employer's D&I policies and initiatives if provided.
Given a job seeker using a platform with D&I search filters, when they select a specific D&I filter during their search, then results should be limited to jobs from employers meeting that criterion.
Given a job seeker exploring the platform's informational pages, when they look for the platform's D&I stance, then they should find a clear statement outlining its commitment to diversity and inclusion.",,,,,,
